,statute_code,charge_descriptions,charge_class,charge_label,Reason
9,CR.3.202,"['ASSAULT-FIRST DEGREE' 'Assault-First Degree' 'ATT-ASSAULT-FIRST DEGREE'
 'ASSAULT-FIRST DEGREE; CJIS#: 11420']",['Felony Circuit Court' nan 'Misdemeanor'],10F,
17,CR.3.402,"['ROBBERY' 'Robbery' 'Att-Robbery' 'ATT-ROBBERY' 'Attempted Robbery'
 'Att-Robbery with Dangerous and Deadly Weapon' 'ATT- ROBBERY'
 'ROBBERY(Attempted)' 'Attempted ROBBERY' 'ATTEMPTED ROBBERY'
 'Att-Armed Robbery' 'Att Robbery W/Dangous and Deadly Weapon'
 'Att Robbery' 'ATT Robbery']",['Felony Circuit Court' nan],10F,
44,CR.7.105,"['MOTOR VEH/UNLAWFUL TAKING' 'Motor Vehicle/Unlawful Taking' 'CAR THEFT'
 'Motor Vehicle/ Unlawful Taking' 'Motor Veh/Unlawful Taking'
 'MOTOR VEHICLE/UNLAWFUL TAKING; CJIS#: 20480']",[nan 'Felony District Court' 'Felony Circuit Court'],10F,
45,CR.6.202,['BURGLARY-FIRST DEGREE' 'Burglary-First Degree' 'BURGLARY - FIRST DEGREE'],['Felony Circuit Court' nan],10F,
48,CR.6.203.(a),"['BURGLARY/2ND DEGREE/GENERAL' 'Burglary/Second Degree/General'
 'BURGLARY - SECOND DEGREE']",[nan 'Felony Circuit Court'],10F,
57,CR.6.202(a),"['BURGLARY-FIRST DEGREE' 'Burglary-First Degree'
 'ATTEMPTED BURGLARY-FIRST DEGREE' 'BURGLARY-FIRST DEGREE; CJIS#: 23000']",['Felony Circuit Court' 'Felony District Court'],10F,
79,CR.2.205,['Attempted First Degree Murder' 'ATT 1ST DEG. MURDER'],['Felony Circuit Court' nan],10F,
89,CR.2.206,['ATT 2ND DEG. MURDER' 'Attempted Second Degree Murder'],['Felony Circuit Court' nan],10F,
92,27 -342 - - -,"['THEFT-SCHEME: PLUS $500 (CJIS 3 5040)' 'THEFT:PLUS $300 (CJIS 3 2400)'
 'THEFT:LESS $300 VALUE CJIS Code: 3 2399' 'THEFT LESS $500 (CJIS 3 5010)'
 'THEFT:LESS $300 (CJIS 3 2399)' 'THEFT:$500 PLUS VALUE (CJIS 3 0521)'
 'THEFT PLUS $500 (CJIS 3 5020)'
 'CONSPIRACY THEFT PLUS $500.00 (CJIS 3C5020)'
 'THEFT-SCHEME:$300 PLUS CJIS Code: 1 0282'
 'ATTEMTPED THEFT LESS $500.00 (CJIS 3A5010)'
 'THEFT-SCHEME:$300 PLUS (CJIS 1 0282)'
 'THEFT: $300 PLUS VALUE CJIS Code: 3 2400'
 'THEFT-SCHEME:$LESS $300 (CJIS 1 0283)'
 'ATTEMPTED THEFT PLUS $500.00 (CJIS 3A5020)'
 'THEFT-SCHEME:$LESS $300 CJIS Code: 1 0283'
 'THEFT SCHEME: LESS $500 (CJIS 3 5030)'
 'CONSPIRACY THEFT LESS $500.00 (CJIS 3C5010)']",['Felony District Court' 'Converted Degree'],10F,
110,CL - - - -,"['ASSAULT (CJIS 1 1313)' 'CON-MURDER-FIRST DEGREE CJIS Code: 2C0900'
 'CON-CDS:P W/I DIST:NARC (CJIS 3C0233)'
 'ATT-RAPE SECOND DEGREE (CJIS 2A1103)'
 'ATT-SEX OFFENSE SECOND DEGREE (CJIS 2A3600)'
 'CON-CDS MANUF/DIST-NARC (CJIS 2C0696)' 'ATT-ARMED ROBBERY (CJIS 1A1202)'
 'CON-CDS MANUF/DIST-NARC CJIS Code: 2C0696'
 'FALSE IMPRISONMENT (CJIS 1 0042)' 'ARMED ROBBERY (CJIS 1 1202)'
 'ROBBERY (CJIS 1 1299)' 'RESISTING ARREST CJIS Code: 1 4801'
 'CON-BURGLARY-FIRST DEGREE (CJIS 2C3000)'
 'CON-BURGLARY/2ND DEGREE/GENERAL CJIS Code: 2C3010'
 'ATT-ARMED CARJACKING CJIS Code: 1A0826'
 'ATT-BURGLARY-FOURTH DEGREE (CJIS 2A3030)'
 'CONSP TO VIOLATE CDS LAWS (CJIS 3c0233)'
 'CON-UTTERING FALSE DOCUMENT (CJIS 1C2513)'
 'OBSTRUCTING & HINDERING (CJIS 1 0043)'
 'CON-THEFT-SCHEME:$300 PLUS (CJIS 1C0282)'
 'ATT-ARSON 2ND DEGREE (CJIS 1A6501)' 'RESISTING ARREST (CJIS 1 4801)'
 'ATT-THEFT:$300 PLUS($500 10/1/00) (CJIS 3A2400)'
 'INDECENT EXPOSURE (CJIS 1 3605)' 'ROBBERY CJIS Code: 1 1299'
 'CON-ROBBERY CJIS Code: 1C1299' 'CON-CDS:MFG/DIST-PCP/LSD (CJIS 1C0696)'
 'ATT-SODOMY-GENERALLY (CJIS 5A3600)'
 'ATT-BURGLARY-FIRST DEGREE (CJIS 2A3000)'
 'ATT-BURGLARY-THIRD DEGREE (CJIS 2A3020)' 'ATT-ROBBERY (CJIS 1A1299)'
 'CON-ARMED ROBBERY (CJIS 1C1202)'
 'CON-BURGLARY/2ND DEGREE/GENERAL (CJIS 2C3010)'
 'CON-FORGERY-PRIV DOCUMENTS CJIS Code: 1C2502'
 'ATT-THEFT:LESS $300 VALUE CJIS Code: 3A2399'
 'CON-BURGLARY-THIRD DEGREE (CJIS 2C3020)' 'CON-ROBBERY (CJIS 1C1299)'
 'CON-CDS:P W/I DIST:NARC CJIS Code: 3C0233'
 'ACCESSORY AFTER FACT (CJIS 1 0056)'
 'FALSE IMPRISONMENT CJIS Code: 1 0042'
 'CON-BURGLARY-FIRST DEGREE CJIS Code: 2C3000'
 'CON-THEFT:LESS $300 VALUE CJIS Code: 3C2399'
 'ATT-CAR THEFT CJIS Code: 2A0480'
 'CON-THEFT:$300 PLUS($500 10/1/00) (CJIS 3C2400)'
 'CON-MURDER-FIRST DEGREE (CJIS 2C0900)']",['Felony Circuit Court' 'Converted Degree'],10F,
178,CR.6.203,"['Burglary/Second Degree/General' 'Burglary-Second Degree'
 'Second Degree Burglary']",['Felony Circuit Court' 'Converted Degree'],10F,
222,CR -7-104 - - -,"['THEFT' 'THEFT:LESS $500 VALUE (CJIS 3_5010)'
 'THEFT:$500 PLUS VALUE (CJIS 3_0521)'
 'ATT THEFT:$500 PLUS VALUE (CJIS 3a0521)'
 'CONSPIRACY: $500 PLUS VALUE (CJIS 3c0521)'
 'THEFT-LESS $500 ATTEMPTED (CJIS 3a5010)'
 'THEFT-SCHEME:$500 PLUS (CJIS 3_5041)']",['Felony District Court' 'Converted Degree'],10F,
225,27.29,['Burglary-First Degree' 'BURGLARY-FIRST DEGREE'],['Felony Circuit Court'],10F,
267,27.30.(a),['Burglary/Second Degree/General' 'BURGLARY/2ND DEGREE/GENERAL'],['Felony Circuit Court'],10F,
290,3-0521,['THEFT: $500 PLUS VALUE'],['Felony District Court'],10F,
307,27.486,['ROBBERY' 'Robbery' 'Att-Robbery'],['Felony Circuit Court' 'Converted Degree'],10F,
325,2-3000,['BURGLARY-FIRST DEGREE'],['Felony Circuit Court'],10F,
334,27 -342A - - -,['CAR THEFT (CJIS 2 0480)' 'CARJACKING' 'CAR THEFT'],['Felony District Court' 'Converted Degree'],10F,
362,27 -29 - - -,"['BURGLARY-FIRST DEGREE (CJIS 2 3000)'
 'BURGLARY-FIRST DEGREE CJIS Code: 2 3000']",['Felony Circuit Court' 'Converted Degree'],10F,
390,CR.3.310,['Attempt-Second Degree Rape' 'ATT 2ND DEG RAPE'],['Felony Circuit Court' nan],10F,
407,2-3020,['BURGLARY-THIRD DEGREE'],['Felony Circuit Court'],10F,
423,CR.5.614,"['CDS:IMPORT INTO STATE' 'Cds:Import Into State'
 'Cds:Import Into State (Cocaine)']",[nan 'Felony Circuit Court'],10F,
442,CR.6.203.(b),['Burglary/Second Degree/Firearm' 'BURGLARY/2ND DEGREE/FIREARM'],['Felony Circuit Court' nan],10F,
443,27 -30 - - -,"['BURGLARY/2ND DEGREE/GENERAL (CJIS 2 3010)'
 'BURGLARY/2ND DEGREE/GENERAL CJIS Code: 2 3010'
 'BURGLARY/2ND DEGREE/FIREARM (CJIS 2 3015)']",['Felony Circuit Court' 'Converted Degree'],10F,
459,27 -32 - - -,"['BURGLARY-4TH DEGREE THEFT CJIS Code: 2 3040'
 'BURGLARY-4TH DEGREE/TOOLS (CJIS 2 3050)'
 'BURGLARY-FOURTH DEGREE CJIS Code: 2 3030'
 'BURGLARY-4TH DEGREE THEFT (CJIS 2 3040)'
 'BURGLARY-FOURTH DEGREE (CJIS 2 3030)']",['Converted Degree' 'Felony Circuit Court'],10F,
492,CR -6-202 - - -,"['BURGLARY-FIRST DEGREE (CJIS 2_3000)'
 'CONSPIRACY BURGLARY-FIRST DEGREE (CJIS 2c3000)']",['Felony Circuit Court'],10F,
500,2-3010,['BURGLARY/2ND DEGREE/GENERAL'],['Felony Circuit Court'],10F,
527,CR.3.312,['Attempt-Second Degree Sex Offense' 'ATT 2ND DEG SEX OFFENSE'],['Felony Circuit Court' nan],10F,
540,27.411A.(a),['Attempted Second Degree Murder' 'ATT 2ND DEG. MURDER'],['Felony Circuit Court'],10F,
559,CR.3.503.(a),['KIDNAP-CHILD UNDER 16'],['Felony Circuit Court' nan],10F,
671,CR.3.309,['ATT 1ST DEG RAPE' 'Attempt-First Degree Rape'],[nan 'Felony Circuit Court'],10F,
673,27.30,"['BURGLARY-INT/STEAL/NIGHT' 'Burglary - Int/Steal/Day'
 'Second Degree Burglary' 'Burglary-Int/Steal/Night']",['Felony Circuit Court'],10F,
728,27 -31 - - -,['BURGLARY-THIRD DEGREE (CJIS 2 3020)'],['Felony Circuit Court'],10F,
783,27-29,['BURGLARY - GENERALLY' 'Burglary/1st Deg/Dwllng/Crim(27-29)'],['Converted Degree' 'Felony Circuit Court'],10F,
784,IN.27.403,['False Claim Mv Theft $300+' 'False/Misleading Info $300+'],['Felony Circuit Court'],10F,
832,3-5041,['THEFT-SCHEME: $500 PLUS'],['Felony District Court'],10F,
846,27 -30 -B - -,['BURGLARY W/INT TO STEAL/DAY'],['Felony Circuit Court'],10F,
871,CR -6-204 - - -,['BURGLARY-THIRD DEGREE (CJIS 2_3020)'],['Felony Circuit Court'],10F,
914,7-104(g)(1)(i),"['Theft of property or services with a value more than $1000 less than $10,000(7-104(g)(1)(i))']",['Felony District Court'],10F,
918,27-342A,['UNLAWFUL TAKING OF MOTOR VEHICLE' 'Motor Vehicle Theft(27-342A)'],['Converted Degree' 'Felony District Court'],10F,
972,27.30..(a),['Burglary/Second Degree/General'],['Felony Circuit Court'],10F,
1014,27.411A.(b),['ATT 1ST DEG. MURDER'],['Felony Circuit Court'],10F,
1041,7-105,['Motor Vehicle Theft(7-105)'],['Felony District Court'],10F,
1097,CR.5.609,['Cds:Possess With Intent Distribute:Pcp/Lsd'],['Felony Circuit Court'],10F,
1108,CR -8-301 -C-I - -,['FRAUD-PER IDENT INFO THEFT < $500 (CJIS 2_0074)'],['Felony District Court'],10F,
1115,CR.3.311,['Attempt-First Degree Sex Offense' 'ATT 1ST DEG SEX OFFENSE'],['Felony Circuit Court' nan],10F,
1132,27.464F,['Attempt-Second Degree Rape'],['Felony Circuit Court'],10F,
1174,6-202,['Burglary/1st Deg/Dwelling/Crim(6-202)'],['Felony Circuit Court'],10F,
1154,CR.8.30.(c)(i),['Fraud-Per Ident Info Theft'],['Felony Circuit Court'],10F,
744,IN.27.403,"['Misappropriate Funds $300+' 'FALSE CLAIM MV THEFT $300+'
  'Misapp Benefits $300+' 'False/Misleading Info $300+']",['Felony Circuit Court'],10F,
4,CR.5.601.(a)(1),"['CDS:POSSESS-NOT MARIHUANA' 'CDS: POSS MARIJUANA L/T 10 G'
 'CDS: P0SSESSION-MARIHUANA' 'CDS-UNLAWFUL POSSESSION ETC'
 'CDS: POSSESSION-MARIHUANA' 'Cds:Possess-Not Marijuana' 'CDS:POSSESSION'
 'CDS: POSS MARIHUANA L/T 10 G' 'CDS:POSSESS-NOT MARIJUANA'
 'Cds:Possess-Not Marihuana' 'Cds: Possession-Marihuana'
 'CDS: POSSE MARIJUANA 10GM+' 'Cds: Poss Marijuana -Less Than 10 Grams'
 'CDS: POSS-MARIJUANA' 'Cds: Possession-Marijuana'
 'CDS: POSSESS-NOT MARIJUANA' 'CDS: Possession-Marijuana'
 'Cds:Possess-Cocaine' 'CDS: POSSESSION-MARIJUANA'
 'CDS: POSSESSION MARIJUANA' 'Cds:Possess-Not Marihuana-HEROIN'
 'CDS: POSS-MARIHUANA' 'CDS POSSESSION' 'CDS:Possess-Not Marijuana'
 'CDS: Possess-Not Marijuana' 'Cds:Possess - Phencyclidine (PCP)'
 'Cds: Possession - Marihuana' 'Cds:Possess - Crack Cocaine'
 'Cds:Possess-Not Marihuana (Cocaine)' 'Cds:Possess-crack cocaine'
 'Cds: Possession-Marijuana 10 grams or more' 'CDS:Possess-Adderall'
 'CDS:Possess-Not Marijuana (Cocaine)'
 'Cds:Possess-Not Marihuana to wit: Cocaine'
 'CDS: Possess-Not Marijuana (Cocaine)'
 'Cds:Possess-Not Marijuana (cocaine)'
 'CDS:POSSESS-NOT MARIHUANA - Cocaine' 'Cds:Possess-Not Marijuana (spice)'
 'Cds:Possess-Not Marijuana (Heroin)' 'Cds:Possession of Oxycodone'
 'CDS:POSSESS-NOT MARIJUANA (CRACK COCAINE)'
 'VOP Cds:Possess-Not Marijuana' 'CDS: POSSESS-FENTANYL'
 'Cds:Possess-Heroin' 'Cds:Possess-Suboxen Sublignual'
 'Cds:Possess-Not Marihuana Methamphetamine'
 'CDS:POSSESS-NOT MARIHUANA (Cocaine)' 'Cds:Possess-Not Marihuana (PCP)'
 'CDS:Possess-Not Marijuana (PCP)' 'Cds:Possess-Methadone'
 'Cds:Possess-Crack/Cocaine' 'Cds:Possess-Not Marihuana (HEROIN)'
 'Cds:Possess-Not Marihuana (COCAINE)'
 'CDS:Possess-Not Marijuana (heroin)'
 'CDS: Possess-Not Marijuana (Heroin)' 'CDS: Possession-Marijuana 10 Gm+'
 'Cds:Possess-Not Marihuana Cocaine' 'CDS:Possess-Not Marihuana'
 'CDS:POSSESS-NOT MARIJUANA (Cocaine)'
 'Cds:Possess-Not Marijuana (Clonazepam)' 'Cds:Possess cocaine'
 'CDS: Possess-Not Marijuana(Cocaine)'
 'CDS:POSSESS-NOT MARIJUANA (COCAINE)' 'Cds:Possess-Adderall'
 'Cds:Possess-Not Marihuana (Crack cocaine)'
 'Cds:Possess-Not Marihuana - Cocaine'
 'CDS:POSSESS-NOT MARIHUANA (Oxycodone)' 'CDS:Possess-Heroin'
 'Cds:Possess-Not Marihuana (Crack Cocaine)' 'CDS: Possession-Marihuana'
 'CDS:POSSESS-NOT MARIHUANA (CRACK COCAINE)'
 'CDS: Possess-Not Marijuana (Fentanyl)'
 'CDS: Possess-Not Marijuana (Crack Cocaine)' 'CDS:Possess-Cocaine'
 'Cds:Possess-Not Marihuana (cocaine)'
 'Cds:Possess-Not Marijuana (Herion)' 'CDS:POSSESS-NOT MARIHUANA (MDMA)'
 'Cds:Possess-Clonazepam' 'CDS: Poss Marijuana 10 Gm+'
 'Cds:Possess- Phencyclidine' 'Cds:Possess-Not Marijuana (heroin)'
 'CDS:POSSESS-NOT MARIJUANA Heroin' 'CDS:POSSESS-NOT MARIJUANA Cocaine'
 'CDS:POSSESS-Heroin' 'CDS: POSS-MARIJUANA 10 GRAMS+'
 'CDS:Possess-Not Marijuana (Heroin)'
 'CDS:Possess-Not Marijuana (Acetaminophen Oxycodone Hydrochloride)'
 'Cds:Possess-Not Marijuana (PCP)' 'CDS:POSSESS-Cocaine'
 'Cds:Possess-Alprazolam' 'CDS: Possess-Not Marijuana (Acetaminophen)'
 'CDS: Possess-Not Marijuana (Oxycodone)' 'CDS:POSSESS-AMPHETAMINE'
 'CDS: POSSESSION-PARA' 'Cds: Possession-Marihuana/THC'
 'Cds:Possess-Oxycodone' 'CDS:POSSESS-NOT MARIHUANA (Lorazepam)'
 'Cds:Possess-Not Marihuana (MDMA)'
 'CDS:POSSESS-NOT MARIHUANA - Crack Cocaine'
 'CDS:POSSESS-NOT MARIJUANA (HEROIN)' 'Cds: Possession-Mushrooms'
 'Cds:Possess-Not Marihuana (Crack/Cocaine)'
 'CDS:POSSESS-NOT MARIHUANA - Valium' 'Cds:Possess - Cocaine'
 'Cds: Possession-Marijuana/THC'
 'Cds:Possess-Not Marihuana (PSILOCYBIN MUSHROOMS)'
 'Cds:Possess-Not Marihuana-Methylenedioxymethamphetamine'
 'CDS:POSSESS-NOT MARIHUANA Cocaine' 'Cds:Possess-Not Marihuana (Herion)'
 '(Reopen Stet) Cds: Possession-Marihuana'
 'CDS: Possession-Marijuana 10 Grams +'
 'CDS:Possess-Not Marijuana Cocaine'
 'CDS:Possess-Not Marijuana Clonazepam' 'Cds:Possess-(5Meo-DIPT)'
 'Cds:Possess-Not Marijuana (Buprenorphine)'
 'CDS: Possess-Not Marijuana Buprenorphine'
 'Cds:Possess-Not Marijuana (alprazolam)'
 'CDS: POSSESS-NOT MARIJUANA; CJIS#: 11111']",[nan 'Misdemeanor'],10M,
